epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.918674242294868,0.5137420718816068,0.6799315853552385,0.41363636363636364,0.5770491761844666
2,0.6706848716635029,0.5560253699788583,0.6921696142716841,0.4,0.5714285673098332
3,0.6304215530512449,0.6691331923890064,0.6217658389698375,0.7636363636363637,0.5806451570759626
4,0.5506735780526417,0.8044397463002114,0.5530297902497379,0.8045454545454546,0.6766917247441915
5,0.46898620287409293,0.8372093023255814,0.434203177690506,0.8363636363636363,0.7464788684209482
6,0.39892082574755644,0.8308668076109936,0.4231623197143728,0.7863636363636364,0.6356589102938526
7,0.37694415878543897,0.8456659619450317,0.3372637271881104,0.85,0.7724137882254458
8,0.3442643203518607,0.846723044397463,0.35990966152061116,0.8090909090909091,0.6865671595678325
9,0.36612819554185766,0.8298097251585623,0.31863026537678457,0.8409090909090909,0.7517730448468388
10,0.3382342774696632,0.857293868921776,0.42442761375145477,0.7863636363636364,0.6356589102938526
11,0.31389034311060676,0.857293868921776,0.2752673701806502,0.9454545454545454,0.9285714234722223
12,0.31384389710476734,0.861522198731501,0.31839257153597744,0.9045454545454545,0.8888888838184823
13,0.34670113392536533,0.8636363636363636,0.3178233955394138,0.8318181818181818,0.7338129448889809
14,0.31848433311343444,0.8657505285412262,0.3307386014949192,0.8181818181818182,0.7058823482698963
15,0.3167029001118013,0.8731501057082452,0.3281797949563373,0.8318181818181818,0.7338129448889809
16,0.29770590736674457,0.8731501057082452,0.3702470443465493,0.8045454545454546,0.6766917247441915
